연도,월,버스정류장ARS번호,역명,00~06_승하차_승객수,06~11_승하차_승객수,11~14_승하차_승객수,14~17_승하차_승객수,17~21_승하차_승객수,21~24_승하차_승객수,X좌표,Y좌표
2020,08,23468,도곡교회.인바디빌딩도곡교회.인바디빌딩도곡교회.인바디빌딩,71,2426,834,930,1534,510,381.16648080000004,112.42317951
2020,08,23469,강남세브란스병원,83,1727,1113,1580,1745,818,127.0471955,37.49335993
2020,08,23470,도곡교회.인바디빌딩.건너도곡교회.인바디빌딩.건너도곡교회.인바디빌딩건너,42,989,390,556,964,365,381.166578,112.42264494
2020,08,23471,래미안강남힐즈래미안강남힐즈래미안강남힐즈래미안강남힐즈,282,4892,4024,5247,9494,4366,508.3815928,149.88954452
2020,08,23472,도곡중학교.강남세브란스병원,597,2286,1193,1122,1244,588,127.046842,37.49363877
2020,08,23473,강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장강남경찰서.강남운전면허시험장,1662,10709,5077,6660,14240,4291,1270.6598510000001,375.0955991
2020,08,23474,수도공고앞,46,419,308,404,367,83,127.0619213,37.4872485
2020,08,23475,개포4단지5단지,0,85,144,151,323,183,127.0689231,37.48654517
2020,08,23476,개포4단지6단지,0,87,62,96,146,110,127.0722395,37.48691074
2020,08,23477,개포4단지7단지,0,35,68,118,206,151,127.0733931,37.48790816
2020,08,23479,개포동역,35,160,173,260,521,285,127.0654251,37.48894592
2020,08,23480,세곡푸르지오세곡푸르지오세곡푸르지오세곡푸르지오,325,3196,1677,2453,4566,1873,508.3746196,149.8698536
2020,08,23481,경남아파트경남아파트경남아파트,127,2367,1147,1317,2123,1088,381.1239516,112.46692841999999
2020,08,23482,세곡푸르지오세곡푸르지오세곡푸르지오세곡푸르지오세곡푸르지오,754,7307,3269,3677,5609,1808,635.468831,187.33925119999998
2020,08,23483,구룡역,16,146,108,144,160,40,127.0592567,37.48616204
2020,08,23484,구룡역,8,146,42,68,68,22,127.0590419,37.48610517
2020,08,23488,럭키아파트럭키아파트럭키아파트,306,5128,2780,3021,5244,2417,381.1233102,112.47467658
2020,08,23489,래미안개포루체하임아파트래미안개포루체하임아파트,85,1990,1395,1660,2683,1551,254.162832,74.97874236
2020,08,23491,수도공고,31,222,158,301,364,243,127.0623828,37.48748845
2020,08,23492,개포4단지6단지,0,177,81,99,73,4,127.0722214,37.48696575
2020,08,23493,개포4단지5단지,0,80,68,71,66,4,127.0683599,37.48642823
2020,08,23500,학여울역,175,1184,552,508,722,187,127.0719832,37.49720432
2020,08,23501,학여울역,70,828,378,384,939,417,127.0713341,37.49680846
2020,08,23504,도곡한신아파트도곡한신아파트도곡한신아파트,130,2663,1073,1171,1979,762,381.12345120000003,112.46071095
2020,08,23505,현대1차우성아파트현대1차우성아파트현대1차우성아파트,38,1159,758,865,1337,710,381.1653348,112.44626946
2020,08,23507,영동고등학교현대아파트영동고등학교현대아파트영동고등학교현대아파트영동고등학교현대아파트영동고등학교현대아파트,1465,10348,8339,11567,33656,12463,635.1982365,187.60691185
2020,08,23508,개포4단지7단지,31,324,185,192,192,17,127.0729295,37.48756879
2020,08,23509,총회회관.휘문고입구총회회관.휘문고입구총회회관.휘문고입구총회회관.휘문고입구총회회관.휘문고입구총회회관.휘문고입구총회회관.휘문고입구,655,9128,3760,4812,9707,2068,889.4602374,262.530562
2020,08,23510,예림당아트홀.신한은행전산센터예림당아트홀.신한은행전산센터예림당아트홀.신한은행전산센터,233,9025,2747,3220,7164,1722,381.1322103,112.49447513999999
2020,08,23511,새마을운동중앙회새마을운동중앙회새마을운동중앙회새마을운동중앙회새마을운동중앙회새마을운동중앙회새마을운동중앙회,679,11447,4907,5757,14409,3725,889.4697937999999,262.51277192000003
2020,08,23512,총지사총지사,307,7939,2231,2135,4080,2103,254.0792644,74.9897738
2020,08,23513,신한은행데이터센터신한은행데이터센터,345,4385,1485,1817,4254,1089,254.0872562,74.9961228
2020,08,23514,포스코사거리포스코사거리,124,6751,1331,1462,2315,410,254.115119,75.0145098
2020,08,23515,우성3차아파트우성3차아파트우성3차아파트,56,1373,941,1099,1671,864,381.1713069,112.4511081
2020,08,23516,우성6차아파트우성6차아파트,31,1668,441,1382,1477,485,254.1100866,74.95392768
2020,08,23517,포이초교포이초교,100,4185,1963,2325,3105,1045,254.1051552,74.950506
2020,08,23518,국악중고교,118,1314,629,944,1447,608,127.0506155,37.47544384
2020,08,23519,풍양빌딩풍양빌딩,74,2048,897,1296,1872,737,254.097647,74.95431114
2020,08,23520,코원에너지서비스,42,510,196,398,702,275,127.0760078,37.498252
2020,08,23521,코원에너지서비스,195,638,183,282,427,159,127.0761601,37.49849368
2020,08,23522,현대1차우성아파트현대1차우성아파트현대1차우성아파트,30,918,717,802,948,311,381.1651266,112.44581298
2020,08,23523,포스코사거리포스코사거리,211,6155,1778,1840,2521,748,254.1165388,75.01447564
2020,08,23524,국민은행그린공원,72,923,523,659,985,480,127.0477947,37.47879885
2020,08,23525,삼익아파트앞삼익아파트앞,177,3274,1208,995,1510,289,254.0830786,74.9801249
2020,08,23526,래미안포레아파트래미안포레아파트래미안포레아파트,899,3626,2561,3200,6990,3286,381.3216087,112.42781421
